time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-22 14:55:19,keras51_augment4_cifar100.py,"(90000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> Dropout (0.3) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> 100(softmax),categorical_crossentropy,Adam,,217,256,2223.0308,4.115993022918701,1.79594087600708,"[2.0205910205841064, 0.4747999906539917]",0.4748,0,179236
2026-09-23 13:58:38,keras52_optimizer14_cifar100.py,"(90000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> Dropout (0.3) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> 100(softmax),categorical_crossentropy,Adam,0.0005000000237487257,271,256,2721.4185,4.277182579040527,1.6805557012557983,1.9877265691757202,0.4852,0,179236
2026-09-27 00:09:21,keras53_ReduceLR14_cifar100.py,"(90000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> Dropout (0.3) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> 100(softmax),categorical_crossentropy,Adam,1.5625000742147677e-05,96,256,830.9599,4.036481857299805,2.1021487712860107,2.284412384033203,0.4154,0,179236
