time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-22 13:41:50,keras51_augment2_mnist.py,"(100000, 28, 28, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Flatten 6400 -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 10(softmax),categorical_crossentropy,Adam,,81,64,507.11,0.7873303294181824,0.2593604624271393,0.03431135416030884,0.9905999898910522,0,232906
2026-09-23 12:38:04,keras52_optimizer12_mnist.py,"(100000, 28, 28, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Flatten 6400 -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 10(softmax),categorical_crossentropy,Adam,9.999999747378752e-05,125,128,573.9266,1.6318718194961548,0.2651083171367645,0.031818874180316925,0.9900000095367432,0,232906
2026-09-26 23:39:23,keras53_ReduceLR12_mnist.py,"(100000, 28, 28, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Flatten 6400 -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 10(softmax),categorical_crossentropy,Adam,6.25000029685907e-05,50,128,234.9194,0.880471408367157,0.25109463930130005,0.034976810216903687,0.9891999959945679,0,232906
