time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-21 15:35:15,keras47_03_load_npy_men_women.py,"(8000, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> MaxPooling2D 32 -> Dropout (0.3) -> GlobalAveragePooling2D 32 -> Dense 32(relu) -> Dropout (0.2) -> Dense 16(relu) -> 8(relu) -> 1(sigmoid),binary_crossentropy,Adam,,97,8,1565.174,0.647835373878479,0.3093522787094116,0.31910523772239685,0.8619999885559082,0,45793
2026-09-21 15:48:51,keras47_03_load_npy_men_women.py,"(8000, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> MaxPooling2D 32 -> Dropout (0.3) -> Flatten 3872 -> Dense 32(relu) -> Dropout (0.2) -> Dense 16(relu) -> 8(relu) -> 1(sigmoid),binary_crossentropy,Adam,,39,16,495.958,0.5001432299613953,0.35114532709121704,0.3448413014411926,0.8659999966621399,0,168673
2026-09-21 16:01:30,keras47_03_load_npy_men_women.py,"(8000, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> Flatten 56448 -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 8(relu) -> 1(sigmoid),binary_crossentropy,Adam,,28,16,475.294,0.4859565794467926,0.7351991534233093,0.4117371737957001,0.8169999718666077,0,3765937
2026-09-22 16:41:55,keras51_augment5_men_women_여자만.py,"(10364, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> MaxPooling2D 128 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,,,8,2712.563,,,0.30996227264404297,0.8849999904632568,0,161217
2026-09-23 14:52:15,keras52_optimizer15_men_women.py,"(10364, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> MaxPooling2D 128 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,0.0005000000237487257,,4,2523.505,,,0.358481228351593,0.8744999766349792,0,161217
2026-09-27 00:30:39,keras53_ReduceLR15_men_women.py,"(10284, 200, 200, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[3x3](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> MaxPooling2D 64 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> MaxPooling2D 128 -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,7.812500371073838e-06,64,16,1149.65,0.6676346063613892,0.2660485804080963,0.34720778465270996,0.8579999804496765,0,161217
