time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-23 10:37:13,keras52_optimizer06_cancer.py,"(398, 30)",42,sequential,Dense 30(relu) -> 40(relu) -> Dropout (0.2) -> Dense 40(relu) -> Dropout (0.3) -> Dense 40(relu) -> 40(relu) -> Dropout (0.5) -> Dense 40(relu) -> 40(relu) -> 1(sigmoid),binary_crossentropy,Adam,0.0010000000474974513,30,256,2.76,0.6775133609771729,0.3931851089000702,0.1776898354291916,0.9532163739204407,0,10411
2026-09-23 10:37:27,keras52_optimizer06_cancer.py,"(398, 30)",42,sequential,Dense 30(relu) -> 40(relu) -> Dropout (0.2) -> Dense 40(relu) -> Dropout (0.3) -> Dense 40(relu) -> 40(relu) -> Dropout (0.5) -> Dense 40(relu) -> 40(relu) -> 1(sigmoid),binary_crossentropy,Adam,0.004999999888241291,25,256,2.664,0.40205249190330505,0.3751398026943207,0.1775590032339096,0.9473684430122375,0,10411
2026-09-23 10:38:04,keras52_optimizer06_cancer.py,"(398, 30)",42,sequential,Dense 30(relu) -> 40(relu) -> Dropout (0.2) -> Dense 40(relu) -> Dropout (0.3) -> Dense 40(relu) -> 40(relu) -> Dropout (0.5) -> Dense 40(relu) -> 40(relu) -> 1(sigmoid),binary_crossentropy,Adam,9.999999747378752e-05,105,256,6.344,0.6942209601402283,0.05841868743300438,0.15728677809238434,0.9532163739204407,0,10411
2026-09-23 16:34:34,keras53_ReduceLR06_cancer.py,"(398, 30)",42,sequential,Dense 30(relu) -> 40(relu) -> Dropout (0.2) -> Dense 40(relu) -> Dropout (0.3) -> Dense 40(relu) -> 40(relu) -> Dropout (0.5) -> Dense 40(relu) -> 40(relu) -> 1(sigmoid),binary_crossentropy,Adam,6.24999984211172e-06,118,256,7.498,0.6930567026138306,0.05465272441506386,0.14350654184818268,0.9532163739204407,0,10411
