time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-23 10:24:39,keras52_optimizer04_dacon_ddarung.py,"(1062, 9)",42,sequential,Dense 64 -> 64 -> Dropout (0.2) -> Dense 32 -> 32 -> Dropout (0.2) -> Dense 16 -> 16 -> Dropout (0.3) -> Dense 8 -> 8 -> 1,mse,Adam,0.0010000000474974513,66,256,3.032,17101.224609375,2811.613525390625,"(2925.076171875,)",54.08397145833035,0,8953
2026-09-23 10:25:13,keras52_optimizer04_dacon_ddarung.py,"(1062, 9)",42,sequential,Dense 64 -> 64 -> Dropout (0.2) -> Dense 32 -> 32 -> Dropout (0.2) -> Dense 16 -> 16 -> Dropout (0.3) -> Dense 8 -> 8 -> 1,mse,Adam,0.004999999888241291,47,256,2.416,15927.4853515625,2795.957763671875,"(2916.115966796875,)",54.00107517531985,0,8953
2026-09-23 15:32:56,keras53_ReduceLR04_dacon_ddarung.py,"(1062, 9)",42,sequential,Dense 64 -> 64 -> Dropout (0.2) -> Dense 32 -> 32 -> Dropout (0.2) -> Dense 16 -> 16 -> Dropout (0.3) -> Dense 8 -> 8 -> 1,mse,Adam,0.0003124999930150807,33,256,2.039,16098.5791015625,2794.88916015625,"(2992.473388671875,)",54.70350354795031,0,8953
