time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-23 11:07:21,keras52_optimizer10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,0.0010000000474974513,100,256,5.256,2.2892343997955322,0.9372289180755615,0.7258911728858948,0.8500000238418579,0,232778
2026-09-23 11:08:02,keras52_optimizer10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,9.999999747378752e-05,351,256,17.58,2.302534818649292,0.3800361752510071,0.36308953166007996,0.8888888955116272,0,232778
2026-09-23 11:08:18,keras52_optimizer10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,0.004999999888241291,97,256,4.987,2.2706048488616943,1.4969536066055298,0.7957482933998108,0.8527777791023254,0,232778
2026-09-23 11:09:22,keras52_optimizer10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,4.999999873689376e-05,956,256,48.551,2.302983045578003,0.3184787333011627,0.26584523916244507,0.9666666388511658,0,232778
2026-09-26 23:15:21,keras53_ReduceLR10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,1.9531249506599124e-07,258,256,11.755,2.3028781414031982,1.451450228691101,1.3296866416931152,0.5027777552604675,0,232778
2026-09-26 23:16:10,keras53_ReduceLR10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,3.906250185536919e-06,89,256,4.445,2.301907539367676,0.9791626334190369,0.8434127569198608,0.6166666746139526,0,232778
2026-09-26 23:16:25,keras53_ReduceLR10_digits.py,"(1437, 64)",42,sequential,Dense 256(relu) -> 256(relu) -> 256(relu) -> Dropout (0.2) -> Dense 128(relu) -> 128(relu) -> 128(relu) -> Dropout (0.2) -> Dense 64(relu) -> 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 32(relu) -> 32(relu) -> Dropout (0.5) -> Dense 16(relu) -> 16(relu) -> 10(softmax),categorical_crossentropy,Adam,3.125000148429535e-05,61,256,3.514,2.2748022079467773,1.5954192876815796,1.0222797393798828,0.5972222089767456,0,232778
