time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,learning_rate,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-23 10:28:10,keras52_optimizer05_kaggle_bike.py,"(8708, 8)",42,sequential,Dense 96(relu) -> 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 8(relu) -> 1,mse,Adam,0.0010000000474974513,191,256,19.492,63649.27734375,22062.677734375,21595.103515625,,0,9825
2026-09-23 10:29:18,keras52_optimizer05_kaggle_bike.py,"(8708, 8)",42,sequential,Dense 96(relu) -> 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 8(relu) -> 1,mse,Adam,0.004999999888241291,47,256,5.413,33955.50390625,22999.44921875,22089.302734375,,0,9825
2026-09-23 10:29:57,keras52_optimizer05_kaggle_bike.py,"(8708, 8)",42,sequential,Dense 96(relu) -> 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 8(relu) -> 1,mse,Adam,0.0005000000237487257,207,256,21.834,65474.1171875,21875.0,21893.263671875,,0,9825
2026-09-23 15:34:39,keras53_ReduceLR05_kaggle_bike.py,"(8708, 8)",42,sequential,Dense 96(relu) -> 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> Dropout (0.3) -> Dense 16(relu) -> 8(relu) -> 1,mse,Adam,1.5625000742147677e-05,76,256,7.871,64259.96875,22171.2890625,22107.271484375,,0,9825
